R,G,B,d
219,231,221,1
217,228,220,1
215,216,220,1
221,222,224,1
212,213,217,1
205,206,211,1
220,220,228,1
227,227,237,1
226,227,232,1
220,221,226,1
225,224,238,1
223,222,238,1
214,216,229,1
222,224,236,1
228,232,241,1
226,231,237,1
223,228,232,1
222,227,230,1
217,225,227,1
214,223,222,1
214,223,220,1
216,225,222,1
215,225,224,1
213,223,224,1
212,222,224,1
212,221,228,1
211,220,229,1
210,218,229,1
209,217,230,1
210,218,231,1
212,220,233,1
213,221,232,1
212,221,230,1
212,221,228,1
212,221,228,1
212,221,228,1
212,221,226,1
212,221,226,1
212,221,226,1
212,221,226,1
212,221,226,1
212,221,226,1
213,222,227,1
215,224,229,1
215,225,227,1
215,225,227,1
216,226,228,1
217,227,229,1
219,224,228,1
218,223,227,1
218,223,227,1
217,222,226,1
218,221,226,1
218,221,226,1
219,222,227,1
219,222,227,1
220,223,228,1
220,223,228,1
220,223,228,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
223,226,231,1
223,226,231,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
223,226,231,1
223,226,231,1
223,226,231,1
223,226,231,1
223,226,231,1
223,226,231,1
223,226,231,1
223,226,231,1
223,226,233,1
223,226,233,1
221,224,233,1
221,224,233,1
221,224,233,1
220,223,232,1
219,221,233,1
218,220,232,1
218,220,232,1
217,219,231,1
216,220,229,1
214,218,227,1
214,217,226,1
214,217,226,1
214,217,226,1
214,217,226,1
214,217,226,1
214,217,226,1
213,216,225,1
213,216,225,1
212,216,227,1
212,216,227,1
211,218,228,1
211,218,228,1
210,218,229,1
210,218,229,1
210,219,228,1
210,219,228,1
210,219,228,1
210,219,228,1
210,219,228,1
211,220,229,1
211,220,229,1
211,220,229,1
211,220,229,1
211,220,229,1
211,220,229,1
211,220,229,1
212,219,229,1
212,219,229,1
212,219,229,1
212,219,229,1
212,218,230,1
212,218,230,1
213,219,231,1
213,219,231,1
213,219,231,1
214,220,232,1
214,220,232,1
214,220,232,1
210,216,228,1
209,215,227,1
208,214,226,1
208,214,226,1
207,213,225,1
206,212,224,1
206,212,224,1
207,213,225,1
207,214,224,1
206,213,223,1
206,213,223,1
206,213,223,1
204,213,222,1
204,213,222,1
204,213,222,1
204,213,222,1
203,212,221,1
203,212,221,1
203,212,221,1
203,212,221,1
204,213,222,1
204,213,222,1
203,212,221,1
203,212,221,1
203,212,221,1
203,212,221,1
202,210,221,1
202,210,221,1
202,210,221,1
202,210,221,1
201,211,223,1
201,211,223,1
201,211,223,1
202,212,224,1
202,212,224,1
202,212,224,1
200,212,224,1
202,214,226,1
201,213,225,1
198,210,222,1
199,209,221,1
198,208,220,1
198,208,220,1
197,207,219,1
194,206,218,1
193,205,217,1
192,204,216,1
192,204,216,1
190,204,217,1
189,203,216,1
187,201,214,1
186,200,213,1
186,200,213,1
186,200,213,1
184,200,213,1
183,199,212,1
185,197,209,1
186,198,210,1
186,200,213,1
188,202,215,1
188,202,215,1
188,202,215,1
187,201,214,1
187,201,214,1
185,201,214,1
184,200,213,1
183,199,212,1
184,200,213,1
188,204,217,1
190,206,219,1
189,207,219,1
187,205,217,1
189,205,218,1
189,205,218,1
189,205,218,1
188,204,217,1
187,205,217,1
187,205,217,1
188,206,218,1
188,206,218,1
189,205,218,1
189,205,218,1
189,205,218,1
189,205,218,1
189,205,218,1
189,205,218,1
189,205,218,1
191,205,218,1
192,204,218,1
194,203,218,1
194,203,218,1
192,201,216,1
189,201,215,1
189,201,215,1
189,201,215,1
189,201,215,1
188,202,215,1
191,205,218,1
192,206,219,1
192,206,219,1
188,204,217,1
186,202,215,1
184,200,213,1
182,198,211,1
182,196,209,1
182,196,209,1
179,195,211,1
177,194,210,1
176,193,213,1
174,192,212,1
171,189,209,1
169,187,207,1
170,187,207,1
169,186,206,1
165,182,202,1
166,183,203,1
168,185,205,1
169,186,206,1
170,187,207,1
168,185,205,1
168,186,206,1
168,186,206,1
168,186,206,1
168,186,206,1
168,186,208,1
167,185,207,1
166,184,206,1
165,183,205,1
165,183,207,1
164,182,206,1
161,181,205,1
161,181,205,1
160,180,204,1
159,179,203,1
159,179,203,1
159,179,203,1
157,179,200,1
156,181,201,1
157,181,205,1
158,184,207,1
158,186,208,1
160,188,209,1
162,190,211,1
165,192,211,1
165,190,210,1
168,189,210,1
170,186,209,1
171,183,205,1
180,187,205,1
217,223,239,1
214,215,217,1
216,217,219,1
215,216,218,1
205,206,210,1
224,224,232,1
229,229,239,1
230,231,235,1
222,223,227,1
224,224,234,1
224,224,236,1
216,218,230,1
223,226,235,1
228,233,239,1
225,230,234,1
222,227,231,1
221,226,229,1
216,224,226,1
213,222,221,1
213,222,221,1
215,224,223,1
214,224,223,1
212,222,223,1
211,221,223,1
211,220,227,1
210,219,228,1
208,216,227,1
208,216,227,1
208,216,229,1
210,218,231,1
211,219,230,1
210,219,228,1
210,219,226,1
210,219,226,1
210,219,226,1
210,219,224,1
210,219,224,1
210,219,224,1
210,219,224,1
211,220,225,1
211,220,225,1
212,221,226,1
213,222,227,1
214,224,226,1
214,224,226,1
214,224,226,1
215,225,227,1
218,223,227,1
217,222,226,1
217,222,226,1
216,221,225,1
217,220,225,1
218,221,226,1
218,221,226,1
218,221,226,1
219,222,227,1
219,222,227,1
220,223,228,1
221,224,229,1
221,224,229,1
221,224,229,1
221,224,229,1
221,224,229,1
221,224,229,1
221,224,229,1
221,224,229,1
221,224,229,1
222,225,230,1
222,225,230,1
223,226,231,1
223,226,231,1
223,226,231,1
222,225,230,1
222,225,230,1
222,225,230,1
223,226,231,1
222,225,230,1
222,225,230,1
221,224,229,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,232,1
222,225,232,1
220,223,232,1
220,223,232,1
220,223,232,1
219,222,231,1
218,220,232,1
218,220,232,1
217,219,231,1
216,218,230,1
215,219,228,1
214,218,227,1
214,217,226,1
213,216,225,1
213,216,225,1
213,216,225,1
213,216,225,1
213,216,225,1
212,215,224,1
212,215,224,1
210,214,225,1
211,215,226,1
209,216,226,1
210,217,227,1
209,217,228,1
208,216,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
210,217,227,1
210,217,227,1
210,217,227,1
210,217,227,1
210,216,228,1
211,217,229,1
211,217,229,1
211,217,229,1
212,218,230,1
213,219,231,1
213,219,231,1
212,218,230,1
208,214,226,1
207,213,225,1
206,212,224,1
206,212,224,1
205,211,223,1
204,210,222,1
204,210,222,1
205,211,223,1
203,210,220,1
203,210,220,1
203,210,220,1
202,209,219,1
201,210,219,1
201,210,219,1
201,210,219,1
200,209,218,1
200,209,218,1
200,209,218,1
200,209,218,1
200,209,218,1
200,209,218,1
200,209,218,1
200,209,218,1
200,209,218,1
199,208,217,1
199,208,217,1
199,207,218,1
198,206,217,1
198,206,217,1
198,206,217,1
198,208,220,1
198,208,220,1
197,207,219,1
198,208,220,1
198,208,220,1
198,208,220,1
196,208,220,1
198,210,222,1
197,209,221,1
195,207,219,1
195,205,217,1
195,205,217,1
194,204,216,1
193,203,215,1
190,202,214,1
189,201,213,1
188,200,212,1
188,200,212,1
186,200,213,1
185,199,212,1
184,198,211,1
183,197,210,1
182,196,209,1
182,196,209,1
180,196,209,1
181,195,208,1
181,193,205,1
181,193,205,1
181,195,208,1
182,196,209,1
182,196,209,1
183,197,210,1
183,197,210,1
183,197,210,1
181,197,210,1
181,197,210,1
180,196,209,1
182,198,211,1
185,201,214,1
187,203,216,1
186,204,216,1
185,203,215,1
186,202,215,1
185,201,214,1
185,201,214,1
185,201,214,1
184,202,214,1
184,202,214,1
184,202,214,1
184,202,214,1
185,201,214,1
185,201,214,1
185,201,214,1
185,201,214,1
185,201,214,1
185,201,214,1
185,201,214,1
188,202,215,1
189,201,215,1
191,200,215,1
190,199,214,1
189,198,213,1
186,198,212,1
186,198,212,1
186,198,212,1
185,197,211,1
184,198,211,1
185,199,212,1
186,200,213,1
186,200,213,1
182,198,211,1
181,197,210,1
178,194,207,1
176,192,205,1
177,191,204,1
177,191,204,1
173,189,205,1
170,187,203,1
168,186,206,1
167,185,205,1
166,184,204,1
164,182,202,1
163,180,200,1
162,179,199,1
159,176,196,1
160,177,197,1
161,178,198,1
159,176,196,1
161,178,198,1
159,177,197,1
159,177,197,1
159,177,197,1
159,177,197,1
159,177,197,1
159,177,199,1
158,176,198,1
157,175,197,1
156,174,196,1
157,175,199,1
156,174,198,1
153,173,197,1
153,173,197,1
152,172,196,1
151,171,195,1
151,171,195,1
151,171,195,1
149,171,192,1
150,172,193,1
149,173,197,1
149,175,198,1
150,178,200,1
151,179,200,1
153,181,202,1
156,183,202,1
157,182,202,1
160,181,202,1
163,179,202,1
165,177,199,1
174,181,199,1
212,218,234,1
223,225,224,1
227,229,228,1
217,218,220,1
227,227,235,1
234,234,242,1
234,236,235,1
226,227,229,1
226,227,231,1
224,227,232,1
226,229,234,1
229,232,237,1
227,230,235,1
224,229,233,1
222,227,230,1
217,225,227,1
215,223,225,1
215,223,225,1
215,223,225,1
214,224,225,1
213,223,225,1
212,221,226,1
211,220,225,1
210,219,226,1
209,218,227,1
209,218,227,1
209,217,228,1
210,218,229,1
211,219,230,1
211,220,229,1
211,220,227,1
211,220,225,1
211,220,225,1
210,219,224,1
210,219,224,1
210,219,224,1
210,219,224,1
211,220,225,1
211,220,225,1
213,223,225,1
214,224,226,1
214,224,226,1
214,224,226,1
215,225,227,1
216,226,228,1
218,223,227,1
218,223,227,1
217,222,226,1
217,222,226,1
218,221,226,1
218,221,226,1
219,222,227,1
219,222,227,1
220,223,228,1
220,223,228,1
221,224,229,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
223,226,231,1
223,226,231,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
223,226,231,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,232,1
222,225,232,1
221,224,231,1
221,224,231,1
221,224,233,1
220,223,232,1
219,222,231,1
218,221,230,1
218,220,232,1
217,219,231,1
216,220,229,1
215,219,228,1
215,218,227,1
215,218,227,1
214,217,226,1
214,217,226,1
214,217,226,1
214,217,226,1
213,216,225,1
213,216,225,1
211,215,226,1
212,216,227,1
210,217,227,1
210,217,227,1
209,217,228,1
209,217,228,1
210,219,228,1
210,219,228,1
210,219,228,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
210,217,227,1
210,217,227,1
210,217,227,1
210,217,227,1
210,217,227,1
211,218,228,1
211,218,228,1
211,218,228,1
212,219,229,1
213,220,230,1
213,220,230,1
212,219,229,1
208,215,225,1
207,214,224,1
207,214,224,1
207,214,224,1
206,213,223,1
205,212,222,1
205,212,222,1
206,213,223,1
206,213,223,1
206,213,223,1
205,212,222,1
205,212,222,1
204,213,222,1
204,213,222,1
203,212,221,1
203,212,221,1
203,212,221,1
202,211,220,1
202,211,220,1
203,212,221,1
203,212,221,1
203,212,221,1
203,212,221,1
202,211,220,1
202,211,220,1
202,211,220,1
201,210,219,1
201,210,219,1
201,209,220,1
201,209,220,1
200,210,220,1
200,210,220,1
200,210,222,1
201,211,223,1
201,211,223,1
201,211,223,1
201,211,223,1
202,212,224,1
200,212,224,1
198,210,222,1
199,209,221,1
198,208,220,1
197,207,219,1
196,206,218,1
193,205,217,1
192,204,216,1
191,203,215,1
190,202,214,1
190,202,216,1
189,201,215,1
187,201,214,1
186,200,213,1
185,199,212,1
185,199,212,1
184,198,211,1
184,198,211,1
184,196,208,1
184,196,208,1
182,196,209,1
182,196,209,1
183,197,210,1
184,198,211,1
186,200,213,1
187,201,214,1
187,201,214,1
188,202,215,1
189,203,216,1
190,204,217,1
190,206,219,1
192,208,221,1
192,208,221,1
191,207,220,1
190,206,219,1
190,206,219,1
190,206,219,1
190,206,219,1
189,205,218,1
189,205,218,1
188,204,217,1
188,204,217,1
188,204,217,1
188,204,217,1
188,204,217,1
188,204,217,1
188,204,217,1
188,204,217,1
190,204,217,1
191,205,218,1
193,205,219,1
195,204,219,1
194,203,218,1
193,202,217,1
190,202,216,1
190,202,216,1
190,202,216,1
189,201,215,1
187,201,214,1
188,202,215,1
187,201,214,1
186,200,213,1
183,199,212,1
182,198,211,1
180,196,209,1
177,193,206,1
179,193,206,1
178,192,205,1
174,190,206,1
170,187,203,1
168,186,206,1
166,187,206,1
166,187,206,1
165,186,205,1
168,186,206,1
168,186,206,1
166,184,204,1
168,186,206,1
166,184,204,1
161,179,199,1
162,180,200,1
163,181,201,1
162,180,200,1
160,181,200,1
162,180,200,1
162,180,200,1
162,180,202,1
162,180,202,1
161,179,201,1
160,178,200,1
158,178,202,1
157,177,201,1
157,177,201,1
156,176,200,1
156,176,200,1
154,174,198,1
153,175,198,1
153,175,198,1
153,175,196,1
153,175,196,1
152,176,200,1
152,178,201,1
152,180,202,1
154,182,203,1
155,183,204,1
157,184,203,1
158,183,203,1
160,182,203,1
164,182,204,1
163,178,199,1
173,182,199,1
210,217,233,1
226,227,231,1
229,229,239,1
238,238,246,1
234,239,235,1
228,232,231,1
226,230,231,1
227,231,234,1
227,232,235,1
224,229,232,1
219,227,229,1
218,226,228,1
218,226,229,1
217,225,228,1
215,224,229,1
215,224,229,1
214,223,228,1
213,222,227,1
212,221,226,1
211,220,227,1
211,220,227,1
211,220,229,1
212,221,230,1
212,221,230,1
212,221,228,1
212,221,228,1
212,221,226,1
211,220,225,1
211,220,225,1
211,220,225,1
211,220,225,1
211,220,225,1
212,221,226,1
213,222,227,1
214,224,226,1
215,225,227,1
215,225,227,1
215,225,227,1
216,226,228,1
217,227,229,1
219,224,228,1
219,224,228,1
219,224,228,1
219,224,228,1
220,223,228,1
220,223,228,1
221,224,229,1
221,224,229,1
222,225,230,1
222,225,230,1
222,225,230,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
225,228,233,1
225,228,233,1
225,228,233,1
226,229,234,1
225,228,233,1
225,228,233,1
225,228,233,1
225,228,233,1
225,228,233,1
225,228,233,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,234,1
224,227,234,1
223,226,233,1
222,225,232,1
222,225,234,1
222,225,234,1
221,224,233,1
220,223,232,1
219,221,233,1
219,221,233,1
218,222,231,1
217,221,230,1
217,220,229,1
217,220,229,1
216,219,228,1
216,219,228,1
215,218,227,1
216,219,228,1
215,218,227,1
215,218,227,1
214,218,229,1
214,218,229,1
212,219,229,1
212,219,229,1
211,219,230,1
211,219,230,1
211,220,229,1
211,220,229,1
211,220,229,1
211,220,229,1
211,220,229,1
211,220,229,1
210,219,228,1
210,219,228,1
210,219,228,1
210,219,228,1
210,219,228,1
210,219,228,1
211,218,228,1
211,218,228,1
211,218,228,1
211,218,228,1
211,218,228,1
212,219,229,1
212,219,229,1
212,219,229,1
213,220,230,1
213,220,230,1
214,221,231,1
213,220,230,1
210,217,227,1
209,216,226,1
209,216,226,1
209,216,226,1
209,216,226,1
208,215,225,1
208,215,225,1
208,215,225,1
207,214,224,1
207,214,224,1
207,214,224,1
206,213,223,1
205,214,223,1
205,214,223,1
204,213,222,1
204,213,222,1
204,213,222,1
204,213,222,1
203,212,221,1
204,213,222,1
204,213,222,1
